DipDirecti,Zone,Length,id,X,Y
,NorthMid,,82,322331.587,4385666.05
,NorthMid,,82,319227.2,4384994.205
,NorthMid,,82,318995.529,4384924.704
,SouthEast,,83,325204.305,4382746.999
,SouthEast,,83,324532.459,4381403.309
,SouthEast,,83,323976.45,4380383.957
,SouthEast,,83,323466.774,4379804.781
,SouthEast,,83,323119.268,4379248.771
,SouthEast,,83,322910.764,4379040.267
,SouthEast,,83,322725.428,4378878.098
,NorthWest,,84,320756.227,4385179.542
,NorthWest,,84,318671.19,4385225.876
,NorthWest,,84,317165.33,4385411.212
,NorthWest,,84,316609.32,4385457.546
,SouthMid,,85,318624.856,4382260.49
,SouthMid,,85,319736.875,4381773.982
,SouthMid,,85,320779.394,4381588.645
,SouthMid,,85,321636.575,4381472.81
,SouthMid,,85,322007.248,4381426.476
,SouthMid,,85,322354.755,4381380.142
,MidMid,,86,321451.239,4384646.699
,MidMid,,86,320501.389,4383511.512
,MidMid,,86,319991.713,4383025.004
,MidMid,,86,319528.372,4382631.164
,MidMid,,86,319319.868,4382445.827
,MidMid,,87,321219.568,4382561.662
,MidMid,,87,319551.539,4383581.014
,MidMid,,87,318856.527,4383812.684
,MidMid,,88,321219.568,4383303.009
,MidMid,,88,319991.713,4384021.188
,MidMid,,88,319389.369,4384623.532
,MidMid,,88,319111.364,4384855.203
,MidMid,,89,322285.253,4384947.871
,MidMid,,89,322030.416,4383349.343
,MidMid,,89,322007.248,4382329.992
,MidMid,,89,321868.246,4381495.977
,MidMid,,89,321613.408,4380754.631
,NorthMid,,90,321439.655,4386384.229
,NorthMid,,90,321624.992,4387137.159
,NorthMid,,90,321648.159,4387391.997
,NorthMid,,90,321682.909,4387797.421
,NorthMid,,90,321682.909,4388098.593
,NorthMid,,90,321682.909,4388585.101
,NorthMid,,90,321694.493,4388805.188
,MidMid,,91,321775.578,4381055.803
,MidMid,,91,321694.493,4381750.815
,MidMid,,91,321659.742,4382283.657
,MidMid,,91,321763.994,4382781.75
,MidMid,,91,322018.832,4383442.011
,MidMid,,91,322099.917,4383812.684
,MidEast,,92,323686.861,4381994.069
,MidEast,,92,324069.118,4383071.338
,MidEast,,92,324103.869,4383442.011
,MidEast,,92,324381.873,4384032.771
,MidEast,,92,324706.212,4384403.445
,MidEast,,92,324937.883,4384785.701
,MidEast,,92,325030.551,4385272.21
,MidEast,,92,325076.886,4385445.963
,MidWest,,93,319794.793,4383824.268
,MidWest,,93,319319.868,4384391.861
,MidWest,,93,319192.449,4384669.866
,MidWest,,93,318902.861,4385063.706
,MidWest,,93,318671.19,4385399.629
,MidWest,,93,318566.938,4385527.048
,NorthMid,,94,323686.861,4386662.234
,NorthMid,,94,323096.101,4386569.566
,NorthMid,,94,322702.261,4386407.396
,NorthMid,,94,321995.665,4386198.893
,NorthMid,,94,321763.994,4385978.806
,NorthMid,,94,321300.653,4385666.05
,NorthMid,,94,321196.401,4385538.631
,NorthMid,,95,320802.561,4387148.743
,NorthMid,,95,320918.396,4387693.169
,NorthMid,,95,320964.73,4388029.092
,NorthMid,,95,320987.897,4388411.348
,NorthMid,,95,320987.897,4388538.767
,NorthWest,,96,318960.778,4388504.017
,NorthWest,,96,318717.524,4388075.426
,NorthWest,,96,317953.011,4386940.239
,NorthWest,,96,317281.166,4386245.227
,NorthWest,,96,316562.986,4385642.883
,NorthWest,,96,316331.316,4385364.878
,NorthWest,,96,316030.144,4385133.207
,MidWest,,97,318381.602,4385260.626
,MidWest,,97,318103.597,4384519.28
,MidWest,,97,317848.759,4383916.936
,MidWest,,97,317593.921,4383268.258
,MidWest,,97,317501.253,4382758.582
,MidWest,,97,317362.25,4382156.239
,MidWest,,97,317292.749,4381924.568
,MidWest,,97,317246.415,4381762.398
,MidWest,,98,317454.919,4385121.624
,MidWest,,98,317061.078,4383638.931
,MidWest,,98,316945.243,4382781.75
,MidWest,,98,316759.906,4381762.398
,MidWest,,98,316713.572,4381183.221
,MidWest,,99,318080.43,4382573.246
,MidWest,,99,317084.245,4383152.423
,MidWest,,99,316505.069,4383546.263
,MidWest,,99,316041.727,4383777.934
,MidWest,,99,315902.725,4383847.435
,SouthWest,,100,319587.108,4380066.365
,SouthWest,,100,318627.665,4379503.214
,SouthWest,,100,318322.625,4379372.855
,SouthWest,,100,317822.046,4379278.996
,SouthWest,,100,317258.896,4379226.853
,SouthWest,,100,316690.405,4379121.352
,SouthWest,,100,316157.563,4378889.681
,SouthWest,,101,317065.964,4379106.922
,SouthWest,,101,317045.107,4379388.498
,SouthWest,,101,316992.963,4379868.219
,SouthWest,,101,316982.534,4380139.366
,SouthWest,,101,316961.677,4380410.513
