VALUE,X,Y
121.91390991,324489.031,4383027.32
128.90563965,324761.071,4383027.32
169.19204712,325033.111,4383027.32
71.4995575,317688.031,4382755.28
72.22964478,317960.071,4382755.28
90.06216431,318232.111,4382755.28
96.40013123,318504.151,4382755.28
130.91099548,318776.191,4382755.28
192.86036682,319048.231,4382755.28
306.54888916,319320.271,4382755.28
321.98434448,319592.311,4382755.28
501.32354736,319864.351,4382755.28
757.73791504,320136.391,4382755.28
971.06921387,320408.431,4382755.28
415.0211792,320680.471,4382755.28
240.95166016,320952.511,4382755.28
273.25442505,321224.551,4382755.28
311.09146118,321496.591,4382755.28
177.41929626,321768.631,4382755.28
601.31286621,322040.671,4382755.28
632.84313965,322312.711,4382755.28
185.48168945,322584.751,4382755.28
83.14599609,322856.791,4382755.28
193.84440613,323128.831,4382755.28
441.66506958,323400.871,4382755.28
589.52056885,323672.911,4382755.28
308.07675171,323944.951,4382755.28
143.36180115,324216.991,4382755.28
141.62387085,324489.031,4382755.28
162.33206177,324761.071,4382755.28
197.19723511,325033.111,4382755.28
91.29951477,317688.031,4382483.24
87.45249939,317960.071,4382483.24
96.84690857,318232.111,4382483.24
92.79747009,318504.151,4382483.24
113.65087891,318776.191,4382483.24
132.47521973,319048.231,4382483.24
186.16921997,319320.271,4382483.24
249.34690857,319592.311,4382483.24
547.66540527,319864.351,4382483.24
784.55639648,320136.391,4382483.24
1039.55444336,320408.431,4382483.24
607.29907227,320680.471,4382483.24
161.02047729,320952.511,4382483.24
168.2088623,321224.551,4382483.24
256.91348267,321496.591,4382483.24
164.52670288,321768.631,4382483.24
776.38171387,322040.671,4382483.24
506.18765259,322312.711,4382483.24
184.61592102,322584.751,4382483.24
-65.2467041,322856.791,4382483.24
-0.25396729,323128.831,4382483.24
344.86251831,323400.871,4382483.24
392.91320801,323672.911,4382483.24
145.98791504,323944.951,4382483.24
-27.05432129,324216.991,4382483.24
120.1494751,324489.031,4382483.24
188.83981323,324761.071,4382483.24
233.15257263,325033.111,4382483.24
86.70730591,317960.071,4382211.2
85.80500793,318232.111,4382211.2
76.11779785,318504.151,4382211.2
73.9564209,318776.191,4382211.2
73.14834595,319048.231,4382211.2
116.38183594,319320.271,4382211.2
245.16157532,319592.311,4382211.2
485.1973877,319864.351,4382211.2
790.40368652,320136.391,4382211.2
1065.39575195,320408.431,4382211.2
818.06207275,320680.471,4382211.2
183.70280457,320952.511,4382211.2
107.8500061,321224.551,4382211.2
238.10510254,321496.591,4382211.2
186.75674438,321768.631,4382211.2
564.74389648,322040.671,4382211.2
629.51464844,322312.711,4382211.2
279.85195923,322584.751,4382211.2
-55.6807251,322856.791,4382211.2
73.07853699,323128.831,4382211.2
231.75944519,323400.871,4382211.2
82.80001831,323672.911,4382211.2
-99.38644409,323944.951,4382211.2
-105.37524414,324216.991,4382211.2
69.32553101,324489.031,4382211.2
168.21734619,324761.071,4382211.2
231.05230713,325033.111,4382211.2
103.56132507,318232.111,4381939.16
87.18341064,318504.151,4381939.16
71.48410034,318776.191,4381939.16
52.24177551,319048.231,4381939.16
63.47209167,319320.271,4381939.16
162.10623169,319592.311,4381939.16
482.98608398,319864.351,4381939.16
719.75665283,320136.391,4381939.16
870.52935791,320408.431,4381939.16
767.88287354,320680.471,4381939.16
239.30760193,320952.511,4381939.16
204.55462646,321224.551,4381939.16
279.92492676,321496.591,4381939.16
155.21392822,321768.631,4381939.16
297.74429321,322040.671,4381939.16
541.32269287,322312.711,4381939.16
279.01773071,322584.751,4381939.16
131.33830261,322856.791,4381939.16
271.37036133,323128.831,4381939.16
111.75460815,323400.871,4381939.16
-204.4704895,323672.911,4381939.16
-180.59683228,323944.951,4381939.16
-58.52044678,324216.991,4381939.16
81.95935059,324489.031,4381939.16
155.3092041,324761.071,4381939.16
222.09954834,325033.111,4381939.16
101.71060181,318232.111,4381667.12
85.04530334,318504.151,4381667.12
71.73562622,318776.191,4381667.12
51.10487366,319048.231,4381667.12
44.66647339,319320.271,4381667.12
44.38232422,319592.311,4381667.12
191.31341553,319864.351,4381667.12
392.80700684,320136.391,4381667.12
512.91931152,320408.431,4381667.12
345.31570435,320680.471,4381667.12
225.29278564,320952.511,4381667.12
393.35592651,321224.551,4381667.12
354.80773926,321496.591,4381667.12
99.41899109,321768.631,4381667.12
353.02185059,322040.671,4381667.12
504.39001465,322312.711,4381667.12
244.1552124,322584.751,4381667.12
166.39303589,322856.791,4381667.12
240.45367432,323128.831,4381667.12
83.39657593,323400.871,4381667.12
-173.07192993,323672.911,4381667.12
-172.95230103,323944.951,4381667.12
-83.08401489,324216.991,4381667.12
15.69680786,324489.031,4381667.12
96.66706848,324761.071,4381667.12
180.61701965,325033.111,4381667.12
139.26699829,318232.111,4381395.08
121.77230835,318504.151,4381395.08
104.77330017,318776.191,4381395.08
87.9886322,319048.231,4381395.08
77.57348633,319320.271,4381395.08
71.10618591,319592.311,4381395.08
46.16740417,319864.351,4381395.08
53.2943573,320136.391,4381395.08
75.74984741,320408.431,4381395.08
162.45645142,320680.471,4381395.08
277.17672729,320952.511,4381395.08
368.25753784,321224.551,4381395.08
361.25765991,321496.591,4381395.08
117.43247986,321768.631,4381395.08
241.80284119,322040.671,4381395.08
400.34359741,322312.711,4381395.08
242.23135376,322584.751,4381395.08
242.3175354,322856.791,4381395.08
187.36746216,323128.831,4381395.08
77.11051941,323400.871,4381395.08
-20.09020996,323672.911,4381395.08
-46.94515991,323944.951,4381395.08
-17.93948364,324216.991,4381395.08
36.81588745,324489.031,4381395.08
94.0025177,324761.071,4381395.08
170.39816284,325033.111,4381395.08
145.56072998,318232.111,4381123.04
131.18824768,318504.151,4381123.04
117.02522278,318776.191,4381123.04
102.06590271,319048.231,4381123.04
90.82717896,319320.271,4381123.04
82.65560913,319592.311,4381123.04
84.59535217,319864.351,4381123.04
140.16911316,320136.391,4381123.04
163.65914917,320408.431,4381123.04
184.25439453,320680.471,4381123.04
220.83532715,320952.511,4381123.04
230.37228394,321224.551,4381123.04
231.27626038,321496.591,4381123.04
95.38613892,321768.631,4381123.04
156.6630249,322040.671,4381123.04
263.27667236,322312.711,4381123.04
228.58203125,322584.751,4381123.04
196.27868652,322856.791,4381123.04
146.5450592,323128.831,4381123.04
96.74978638,323400.871,4381123.04
50.6806488,323672.911,4381123.04
19.53274536,323944.951,4381123.04
9.440979,324216.991,4381123.04
25.65328979,324489.031,4381123.04
56.11347961,324761.071,4381123.04
131.68383789,325033.111,4381123.04
193.97180176,318504.151,4380851
169.42132568,318776.191,4380851
149.40402222,319048.231,4380851
136.33914185,319320.271,4380851
132.24835205,319592.311,4380851
133.17959595,319864.351,4380851
138.48904419,320136.391,4380851
171.65795898,320408.431,4380851
243.07157898,320680.471,4380851
291.75100708,320952.511,4380851
289.71731567,321224.551,4380851
265.1043396,321496.591,4380851
236.33055115,321768.631,4380851
199.54205322,322040.671,4380851
214.35760498,322312.711,4380851
251.45631409,322584.751,4380851
244.10067749,322856.791,4380851
199.60050964,323128.831,4380851
163.39352417,323400.871,4380851
148.30456543,323672.911,4380851
134.70709229,323944.951,4380851
119.21511841,324216.991,4380851
117.29667664,324489.031,4380851
115.87432861,324761.071,4380851
